Transcript stable ID,Gene name
Y110A7A.10.1,aap-1
Y110A7A.10.2,aap-1
F27C8.1.1,aat-1
F27C8.1.2,aat-1
F07C3.7.1,aat-2
F52H2.2a.1,aat-3
F52H2.2b.1,aat-3
T13A10.10a.1,aat-4
T13A10.10b,aat-4
C55C2.5a.1,aat-5
C55C2.5b,aat-5
C55C2.5c,aat-5
C55C2.5d,aat-5
T11F9.4a.1,aat-6
T11F9.4b.1,aat-6
F54D12.3.1,aat-7
F28F9.4.1,aat-8
Y53H1C.1a.1,aat-9
Y53H1C.1b.1,aat-9
C50F2.9.1,abf-1
C50F2.10.1,abf-2
F54B8.5.1,abf-3
Y38H6C.22.1,abf-4
T22H6.5.1,abf-5
T22H6.7.1,abf-6
M79.1a.1,abl-1
M79.1b.1,abl-1
M79.1c.1,abl-1
C24F3.5a.1,abt-1
C24F3.5b.1,abt-1
F12B6.1a.1,abt-2
F12B6.1b.1,abt-2
F55G11.9,abt-3
Y39D8C.1.1,abt-4
Y53C10A.9.1,abt-5
AC3.3.1,abu-1
F19G12.7.1,abu-2
F31A3.1,abu-3
Y5H2A.3.1,abu-4
Y105C5A.4.1,abu-5
C03A7.7.1,abu-6
C03A7.8.1,abu-7
C03A7.14.1,abu-8
C03A7.14.2,abu-8
R09F10.2.1,abu-9
F35A5.3.1,abu-10
T01D1.6.1,abu-11
W09B12.1.1,ace-1
W09B12.1.2,ace-1
Y44E3A.2.1,ace-2
Y48B6A.8.1,ace-3
Y48B6A.7.1,ace-4
C42D8.5a.1,acn-1
C42D8.5a.2,acn-1
C42D8.5b.1,acn-1
ZK455.1.1,aco-1
ZK455.1.2,aco-1
F54H12.1a.1,aco-2
F54H12.1c.1,aco-2
F54H12.1c.2,aco-2
K11G12.2.1,acr-2
K11G12.7.1,acr-3
K03F8.2.1,acr-5
ZK973.5.1,acr-6
T09A5.3.1,acr-7
ZC504.2.1,acr-8
ZC504.2.2,acr-8
C40C9.2.1,acr-9
R02E12.8.1,acr-10
D2092.3.1,acr-11
R01E6.4a.1,acr-12
R01E6.4b.1,acr-12
T05C12.2.1,acr-14
F25G6.4.1,acr-15
F25G6.3.1,acr-16
F53E10.2a,acr-17
F53E10.2b.1,acr-17
F53E10.2c,acr-17
F53E10.2d,acr-17
F53E10.2e,acr-17
F53E10.2f,acr-17
F53E10.2g.1,acr-17
F53E10.2h.1,acr-17
F53E10.2i.1,acr-17
F28F8.1.1,acr-18
C31H5.3a.1,acr-19
C31H5.3b.1,acr-19
R06A4.10a.1,acr-20
R06A4.10b.1,acr-20
R06A4.10c.1,acr-20
F27B3.2a.1,acr-21
F27B3.2b.1,acr-21
F27B3.2c.1,acr-21
F27B3.2d.1,acr-21
F48E3.7.1,lgc-11
F59B1.9a.1,acr-23
F59B1.9b.1,acr-23
T04C12.6.1,act-1
T04C12.6.2,act-1
T04C12.6.3,act-1
T04C12.6.4,act-1
T04C12.5.1,act-2
T04C12.5.2,act-2
T04C12.5.3,act-2
T04C12.4.1,act-3
T04C12.4.2,act-3
T04C12.4.3,act-3
M03F4.2a.1,act-4
M03F4.2b.1,act-4
M03F4.2b.2,act-4
M03F4.2b.3,act-4
M03F4.2b.4,act-4
M03F4.2b.5,act-4
M03F4.2b.6,act-4
M03F4.2c.1,act-4
T25C8.2.1,act-5
T25C8.2.2,act-5
T25C8.2.3,act-5
F17C8.1.1,acy-1
C10F3.3.1,acy-2
C44F1.5.1,acy-3
C44F1.5.2,acy-3
T01C2.1.1,acy-4
F39C12.2a.1,add-1
F39C12.2b.1,add-1
F39C12.2c.1,add-1
F39C12.2d.1,add-1
F39C12.2e.1,add-1
F57F5.4a.1,add-2
F57F5.4a.2,add-2
F57F5.4a.3,add-2
F57F5.4b.1,add-2
C04A11.4a.1,adm-2
C04A11.4b.1,adm-2
ZK154.7.1,adm-4
H15N14.1c.1,adr-1
H15N14.1d.1,adr-1
H15N14.1e.1,adr-1
H15N14.1f.1,adr-1
H15N14.1g.1,adr-1
T20H4.4.1,adr-2
T20H4.4.2,adr-2
Y50D7A.7.1,ads-1
C02B4.1.1,adt-1
F08C6.1a.1,adt-2
F08C6.1a.2,adt-2
F08C6.1b.1,adt-2
F08C6.1b.2,adt-2
F08C6.1c.1,adt-2
F08C6.1c.2,adt-2
D2030.10a.1,aex-1
D2030.10a.2,aex-1
D2030.10b.1,aex-1
T14B1.2.1,aex-2
C02H7.3a.1,aex-3
C02H7.3b.1,aex-3
F32A7.6.1,aex-5
Y87G2A.4.1,aex-6
B0334.8a.1,age-1
B0334.8b.1,age-1
F32A6.4a.1,ags-3
F32A6.4a.2,ags-3
F32A6.4b,ags-3
F32A6.4c,ags-3
F32A6.4d.1,ags-3
F32A6.4e.1,ags-3
F32A6.4f.1,ags-3
F32A6.4g.1,ags-3
F32A6.4g.2,ags-3
F32A6.4g.3,ags-3
Y62E10A.5a.1,agt-1
Y62E10A.5a.2,agt-1
Y62E10A.5b.1,agt-1
F09E5.13.1,agt-2
C25A1.11a.1,aha-1
C25A1.11b.1,aha-1
C41G7.5a.1,ahr-1
C41G7.5b.1,ahr-1
